Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10016,Delos Santos,Kolby ,"February 26, 1980","06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",739-443-033,52-0109570-6,357451271274,187-500-345-000,113017988667,Probationary,Account Rank and File,"Mata, Christian","24,000",0,0,0,"12,000",142.86
10017,Santos,Vella ,"December 31, 1983","99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",955-879-269,52-9883524-3,548670482885,101-558-994-000,360028104576,Probationary,Account Rank and File,"Mata, Christian","22,500",0,0,0,"11,250",133.93
10018,Del Rosario,Tomas,"December 18, 1978","80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",882-550-989,45-5866331-6,953901539995,560-735-732-000,913108649964,Probationary,Account Rank and File,"Mata, Christian","22,500",0,0,0,"11,250",133.93
10019,Tolentino,Jacklyn ,"May 19, 1944","96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",675-757-366,47-1692793-0,753800654114,841-177-857-000,210546661243,Probationary,Account Rank and File,"De Leon, Selena","24,000",0,0,0,"12,000",142.86
10020,Gutierrez,Percival ,"December 18, 1970","58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur",512-899-876,40-9504657-8,797639382265,502-995-671-000,210897095686,Probationary,Account Rank and File,"De Leon, Selena","24,750",0,0,0,"12,375",147.32
10021,Manalaysay,Garfield ,"August 28, 1966","60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur",948-628-136,45-3298166-4,810909286264,336-676-445-000,211274476563,Probationary,Account Rank and File,"De Leon, Selena","24,750",0,0,0,"12,375",147.32
10022,Villegas,Lizeth ,"December 12, 1981","66/77 Mann Views, Luisiana 1263 Dinagat Islands",332-372-215,40-2400719-4,934389652994,210-395-397-000,122238077997,Probationary,Account Rank and File,"De Leon, Selena","24,000",0,0,0,"12,000",142.86
10023,Ramos,Carol ,"August 20, 1978","72/70 Stamm Spurs, Bustos 4550 Iloilo",250-700-389,60-1152206-4,351830469744,395-032-717-000,212141893454,Probationary,Account Rank and File,"De Leon, Selena","22,500",0,0,0,"11,250",133.93
10024,Maceda,Emelia ,"April 14, 1963","50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija",973-358-041,54-1331005-0,465087894112,215-973-013-000,515012579765,Probationary,Account Rank and File,"De Leon, Selena","22,500",0,0,0,"11,250",133.93
10025,Aguilar,Delia ,"January 27, 1939","95 Cremin Junction, Surallah 2809 Cotabato",529-705-439,52-1859253-1,136451303068,599-312-588-000,110018813465,Probationary,Account Rank and File,"De Leon, Selena","22,500",0,0,0,"11,250",133.93
